"No","Question Name","JSON Key","Input Type","Field Status"
"-","LINE User ID","line_user_id","Hidden Input","Required"
"-","ชื่อบัญชี LINE","displayName","Hidden Input","Required"
"1","ชื่อผู้แจ้ง (Full Name)","full_name","Input (Text)","Required"
"2","บริษัท (Company)","company","Input (Text)","Required"
"3","ผู้แจ้งเรื่อง (Email)","email","Input (Email)","Required"
"4","โครงการ/ระบบ (Project Name)","project_name","Input (Text)","Required"
"5","ต้องการขอฟังก์ชันอะไร?","q1_subject","Textarea","Required"
"6","Doctype / เอกสารไหนเกี่ยวข้องบ้าง?","q2_doctypes","Input (Text)","Required"
"7","As-Is ปัจจุบันทำงานอย่างไร?","q3_asis","Textarea","Required"
"8","To-Be ต้องการให้ทำงานอย่างไร?","q4_tobe","Textarea","Required"
"9","เงื่อนไขในการทำงานมีอะไรบ้าง?","q5_conditions","Input (Text)","Required"
"10","Workflow / สถานะเอกสารเป็นอย่างไร?","q6_workflow","Textarea","Required"
"11","ใครมีสิทธิ์ทำอะไรบ้าง?","q7_permissions","Input (Text)","Required"
"12","ต้องมี Approval / การอนุมัติหรือไม่?","q8_approval","Input (Text)","Required"
"13","ต้องมี Notification / การแจ้งเตือนหรือไม่?","q9_notifications","Input (Text)","Required"
"14","ต้องเชื่อมต่อกับระบบอื่นหรือไม่?","q10_integration","Input (Text)","Required"
"15","ข้อมูลเดิมต้องนำมาใช้ด้วยหรือไม่?","q11_legacy_data","Custom Radio Cards","Required"
"16","ต้องมีการปรับปรุงข้อมูลหลัก (Master Data) หรือไม่?","q12_master_data","Input (Text)","Required"
"17","ต้องเพิ่ม / แก้ไข Print Format หรือไม่?","q13_print_format","Input (Text)","Required"
"18","ต้องเพิ่ม / แก้ไข Report หรือไม่?","q14_reports","Input (Text)","Required"
"19","มีข้อมูล / Field ใหม่ที่ต้องเพิ่มหรือไม่?","q15_new_fields","Textarea","Required"
"20","ต้องมีการแนบไฟล์หรือเอกสารหรือไม่?","q16_attachments","Input (Text)","Optional"
"21","มีกรณีพิเศษ / Possible Case อะไรบ้าง?","q17_exceptions","Textarea","Required"
"22","Expected Result คืออะไร?","q18_expected_result","Textarea","Required"
"-","เวลาที่บันทึกข้อมูล","submitted_at","Timestamp (ISO)","Required"
"-","ไฟล์แนบสำหรับคำถามข้อ N (q1-q18)","qN_attachment","Base64 String","Optional"
"-","ชื่อไฟล์แนบสำหรับคำถามข้อ N (q1-q18)","qN_attachment_name","String","Optional"
"-","ลิงก์แนบสำหรับคำถามข้อ N (q1-q18)","qN_link","String","Optional"


